PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-29,13:07:57.26,1,1,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Martinov, Lucas ",10915098,Right,VEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.79088,-0.016732,-3.125497,2578.452864,231.548255,1:45,5.59387,2.13868,5.06483,-23.4345,15.49694,17.70651,3.6252,0.66404,77.95321,-4.398,-0.001531,0.449078,,,,,,,,,,,,-9.71674,8.08619,-1.85594,50,5.57446,6.02684,-125.53237,-0.8487,-15.27167,28.97945,-19.46511,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,821053b0-0cd9-11f0-ae48-b19d7b8b2d6b,83.93298,,,8.83767,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:07:57.26,2025-03-29T13:07:57.2670976-07:00,2025-03-29T20:07:57.2670976Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,ad4350b8-06b3-4759-b506-29dd31147ada,55.43352,-126.7805,14.48973,5.59296,-0.01034,-9.73256,-2.12968,6.68458,-7.63583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-29,13:08:11.28,1,2,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Martinov, Lucas ",10915098,Right,VEN_COL,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.78958,0.94253,-3.408154,2858.312836,48.078862,7:30,5.53836,2.33861,4.54506,-52.41881,-3.44772,-5.61433,2.06913,-1.3778,71.2193,-8.438944,-4.388768,0.503664,,,,,,,,,,,,1.73658,-1.49898,-1.97775,50,5.58704,6.94314,-112.55515,-0.12559,2.21557,21.47227,-34.08648,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,8a8f9eb0-0cd9-11f0-ae48-b19d7b8b2d6b,74.83643,,,6.57028,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:08:11.28,2025-03-29T13:08:11.2869376-07:00,2025-03-29T20:08:11.2869376Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,416d2088-f9ec-4878-9219-31fbf6404613,55.95748,-113.68598,10.73613,5.54638,1.66957,-17.04324,-2.34033,6.82645,1.10779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-29,13:08:25.87,1,3,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Martinov, Lucas ",10915098,Right,VEN_COL,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.39888,0.271735,-3.744079,2907.302341,55.654705,7:45,5.40316,2.31894,4.75112,-53.15668,-4.08327,-8.26851,1.23172,-1.92622,71.13426,-9.245707,-5.193206,0.50419,,,,,,,,,,,,2.98295,-1.66835,-1.93433,50,5.3833,7.67131,-112.02471,-1.41159,3.77069,21.23271,-34.28296,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,9340cf20-0cd9-11f0-ae48-b19d7b8b2d6b,74.75835,,,6.26462,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:08:25.87,2025-03-29T13:08:25.8769408-07:00,2025-03-29T20:08:25.8769408Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,6e85e376-b688-4d27-bbcb-6e5eb759a057,55.75244,-113.10975,10.61636,5.41067,0.34035,-17.14148,-2.32143,7.47862,1.88535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-29,13:08:41.00,1,4,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Martinov, Lucas ",10915098,Right,VEN_COL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.54252,-0.152301,-4.235591,2864.399351,43.42385,7:30,5.51983,2.18555,4.94741,-52.03637,-4.51859,-5.76122,1.03915,-2.30458,71.97735,-9.498539,-5.248356,0.496134,,,,,,,,,,,,1.57496,-1.77051,-1.76856,50,5.46176,8.64959,-113.60253,-2.18855,2.03994,22.53615,-34.46723,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,9c46af40-0cd9-11f0-ae48-b19d7b8b2d6b,75.97222,,,6.56517,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:08:41.00,2025-03-29T13:08:41.0006016-07:00,2025-03-29T20:08:41.0006016Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,eed49865-ad99-41e8-8c03-e87ac0ca9cf0,55.55567,-114.69936,11.26807,5.52745,-0.51105,-17.23362,-2.18711,8.55031,1.01997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-29,13:08:56.81,1,5,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Martinov, Lucas ",10915098,Right,VEN_COL,Undefined,1,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.11104,-3.069351,-3.997128,2501.809988,235.025163,1:45,5.71376,2.19437,5.28588,-23.09513,14.49398,18.70781,0.8969,-0.0065,79.48113,-7.370275,-0.684152,0.441268,,,,,,,,,,,,-10.71319,8.64654,-1.84394,50,5.41661,8.05819,-127.25403,-7.63656,-17.3001,29.81814,-18.21133,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,a5af48d0-0cd9-11f0-ae48-b19d7b8b2d6b,85.41851,,,8.62991,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:08:56.81,2025-03-29T13:08:56.8155648-07:00,2025-03-29T20:08:56.8155648Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,9ff42dad-3f48-472c-9be0-b8dca9bb0b08,55.21562,-128.47034,14.90907,5.71296,-6.8937,-9.10566,-2.18703,8.76388,-8.65005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-29,13:09:17.64,1,6,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Martinov, Lucas ",10915098,Right,VEN_COL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.83953,-0.053922,-4.313963,2520.765044,221.564962,1:30,5.59644,2.19778,5.18681,-20.68096,17.04028,13.92887,3.82215,-0.70793,79.24542,-3.937257,-1.857196,0.442043,,,,,,,,,,,,-8.20808,8.87221,-1.80717,50,5.57633,8.93255,-126.97903,-0.81137,-13.27772,28.23821,-17.82198,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,b1fc64b0-0cd9-11f0-ae48-b19d7b8b2d6b,85.26871,,,8.59412,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:09:17.64,2025-03-29T13:09:17.6410624-07:00,2025-03-29T20:09:17.6410624Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,74a533e0-2bca-4c40-9265-958257960b54,55.31211,-128.15491,14.1191,5.59467,-0.06923,-8.91099,-2.19065,9.48545,-6.63886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-29,13:09:49.54,2,1,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Drumheller, Benjamin",1000114893,Left,VEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.24022,-1.691654,-4.96138,2444.588331,236.747846,2:00,5.61644,2.04987,5.43388,-26.84202,13.00438,17.6221,1.7889,-1.13976,77.02621,-6.683043,-1.839558,0.454324,,,,,,,,,,,,-10.42922,7.48398,-1.62199,50,5.44776,9.93282,-123.12386,-4.54886,-15.81986,27.14801,-20.82179,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,c5196de0-0cd9-11f0-ae48-b19d7b8b2d6b,82.96371,,,8.21401,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:09:49.54,2025-03-29T13:09:49.5406080-07:00,2025-03-29T20:09:49.5406080Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,d03c8c70-6df2-4414-a3e1-48deea803e2f,55.06707,-124.23609,13.574,5.61664,-3.69581,-10.4109,-2.04221,10.58094,-7.90993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-29,13:10:06.58,2,2,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Drumheller, Benjamin",1000114893,Left,VEN_COL,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.6596,-1.036053,-4.749959,2427.52978,226.71756,1:30,5.49394,2.49631,5.49359,-25.45871,14.61367,14.04367,2.39972,-0.78713,76.80144,-5.783776,-2.259956,0.455611,,,,,,,,,,,,-8.48567,8.07831,-2.08931,50,5.386,9.57549,-122.41035,-3.04898,-12.78965,25.66711,-19.9984,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,cf444600-0cd9-11f0-ae48-b19d7b8b2d6b,82.72946,,,7.85817,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:10:06.58,2025-03-29T13:10:06.5841664-07:00,2025-03-29T20:10:06.5841664Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,8f799e70-35e8-43ff-a505-d34f4d47804c,55.00695,-123.45574,12.83355,5.4936,-2.23446,-9.9992,-2.48992,10.0964,-6.39483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-29,13:10:24.35,2,3,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Drumheller, Benjamin",1000114893,Left,VEN_COL,Undefined,1,Top,0,0,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.49429,-1.196221,-3.002986,1677.923635,217.2358,1:15,5.45708,2.03593,5.25025,-30.55289,15.03473,10.26241,1.78517,0.06653,72.52454,-6.837692,-1.185227,0.485954,73.76543,2.594025,54.852063,4927.385696,,,,49.25712,47.95392,55.797309,0.45459,-6.04677,8.31197,-1.76812,50,5.32484,5.63126,-115.16296,-3.39619,-8.08382,22.29256,-21.06195,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,d9db7480-0cd9-11f0-ae48-b19d7b8b2d6b,77.56386,2.23647,,6.96975,,,,2.89183,1.94713,0.26208,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:10:24.35,2025-03-29T13:10:24.3589632-07:00,2025-03-29T20:10:24.3589632Z,GroundBall,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,6b91751c-f3dc-44bd-9f05-d2cec307ab8b,55.25138,-116.17504,11.14628,5.45732,-2.43998,-10.53097,-2.03212,5.99826,-4.04191,,2.89704,62.06752,-16.59258,,,,,,,1.9528,4.731,-19.88376,,,,,,,0.25301,88.63807,0.96796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-03-29,13:10:54.47,2,4,"Thomas, Koehn",1000322765,Right,SAN_BAR1,"Drumheller, Benjamin",1000114893,Left,VEN_COL,Undefined,1,Top,0,0,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.14474,1.264113,-1.513282,2836.000862,47.587059,7:30,5.36675,2.06679,4.54375,-54.90956,-4.60488,-7.05508,1.99509,0.03779,69.73128,-8.61174,-2.749121,0.510476,,,,,,,,,,,,2.94729,-2.19835,-1.90201,50,5.44647,3.24826,-111.60612,0.41153,3.64665,23.65028,-34.89406,SAN_BAR1,VEN_COL,PershingPark,JUCO,NJCAA,20250329-PershingPark-1,ebd66be0-0cd9-11f0-ae48-b19d7b8b2d6b,73.83779,,,7.41346,,,,,,,a586b2c3-03e8-4ae2-aaae-5d48c08c1500,2025-03-29,20:10:54.47,2025-03-29T13:10:54.4781312-07:00,2025-03-29T20:10:54.4781312Z,,v3,,,,"Camberg, Aidan",10311235,Right,SAN_BAR1,bf02db3f-6ad4-4961-a649-304becc7ccc9,55.95793,-112.86159,11.82514,5.37546,2.26388,-17.44703,-2.0693,3.05468,1.82332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
